中国・台湾,種別,英語見出し,漢字,日本語読み,中国語読み（カタカナ）,英語標記2,漢字別名,漢字別名読み,省都,省都読み,annotation
,,,雲貴高原,うんきこうげん,,,,,,,
,,chiayi,,,,,,,,,台湾中部の市
,,chongqing,,,,,,,,,
,,guangxizhuang,,,,Guangxi Zhuang,,,,,
,,hebei,,,,,,,,,
,,maoming,,,,,,,,,
,,mexian,,,,
,,nanxiong,,,,
,,ningxiahui,,,,Ningxia Hui
,,shaoguan,,,,
,,xisang ,,,,
,,yangjiang,,,,
台,県,yunlin,雲林,,,,,,,,台湾中部の県
台,国,taiwan,台湾,たいわん,,,,,,,
台,市,,宜蘭
台,市,changhua,彰化,,チャンホワ,,,,,,台湾中西部の都市
台,市,chengkung,成功
台,市,chiai,嘉義
台,市,chilung,基隆
台,市,hengchun,恒春
台,市,hsincheng,新城
台,市,hsinchu,新竹,しんちく,,,,,,,台湾北部の市
台,市,hsinying,新営
台,市,hualien,花連
台,市,kaohsiung,高雄,たかお,,,,,,,台湾南部の市
台,市,lanyu,,,,,,,,,
台,市,liuchiuyu,
台,市,lukang,鹿港
台,市,lutao,緑島
台,市,makung,膨湖
台,市,miaoli,苗栗
台,市,nantou,,,,,,,,,台湾中部の市
台,市,pingtung,,,,,,,,,台湾南部の市
台,市,quemoy,アモイ,,,,,,,,
台,市,suao,蘇澳
台,市,taichung,台中,たいちゅう,タイチョン,,,,,,台湾中西部の市
台,市,tainan,台南,たいなん,タイナン,,,,,,台湾南西部の市
台,市,taipei,台北,たいほく,タイペイ,,,,,,台湾北部の市
台,市,taitung,台東,たいとう,タイトン,,,,,,台湾南部の市
台,市,tanshui,淡水,,,,,,,,
台,市,taotuan,,,,,,,,,台湾北部の市
台,市,taoyuan,桃園,,,,,,,,
台,市,taroko,太魯閣,,,,,,,,台湾北部の市
台,市,tawu,大武
台,市,yuli,玉里
中,河,,鴨緑江,おうりょくこう,ヤーリュイチアン,,,,,,
中,河,huanghe,黄河,こうが,ホアンホー,the Huang He,,,,,中国第二の大河
中,海,,渤海,ぼっかい,ポーハイ,,,,,,中国、遼東半島と山東半島とに囲まれた海域
中,区,,広西壮族自治区,こうせいちわんぞくじちく,,,,,,,中国の南東端部の自治区
中,区,,寧夏,ねいか,,,,,,,中国、寧夏回族自治区の区都
中,区,hongkong,香港,ほんこん,,,,,,,
中,区,innermongolia,内蒙古自治区,うちもうこじちく,,Inner Mongolia,,,,,内蒙古自治区
中,区,macao,澳門,まかお,,Macau,,,,,
中,区,xinjiang,新疆,しんきょう,,Xinjiang,,,,,
中,区,xinjianguygur,新疆ウイグル,しんきょううぃぐる,,Xinjiang Uygur,,,,,新疆ウイグル
中,市,,貴陽,きよう,コイヤン,,,,,,中国、貴州省の省都
中,市,,杭州,こうしゅう,ハンチョウ,,,,,,中国、浙江省の省都
中,市,,合肥,ごうひ,ホーフェイ,,,,,,中国、安徽省の省都
中,市,,昆明,こんめい,クンミン,,,,,,中国、雲南省の省都
中,市,,済南,さいなん,チーナン,,,,,,中国、山東省の省都
中,市,,重慶,じゅうけい,チョンチン,,,,,,中国、四川省の都市
中,市,,成都,せいと,チョントゥー,,,,,,中国、四川省の省都
中,市,,西寧,せいねい,シーニン,,,,,,中国、青海省の省都
